fecha_interaccion,canal,pais,cola,motivo_consulta,resuelto_chatbot,transferido_agente,fcr,tiempo_respuesta_seg,aht_seg,csat,nps,funnel_devoluciones,id_sesion
2025-09-07 20:37:57.132072,Email,PT,General,Consultar catálogo,1,0,1,9.36960148963582,44.43981584619573,4.516348860897939,,,132
2025-09-07 20:38:57.132072,App móvil,ES,General,Estado de pedido,1,0,0,11.759771722145812,21.556239244640235,,10.0,,348
2025-09-07 20:40:57.132072,Email,MX,General,Estado de pedido,1,0,1,13.463191131469848,47.01022492083551,,,,362
2025-09-07 20:41:57.132072,Web,ES,Devoluciones,Devoluciones,1,0,1,6.435863123022698,5.0,,3.0,Inicio,67
2025-09-07 20:44:57.132072,Web,ES,Entregas,Incidencia de entrega,0,1,0,12.407748969122684,219.7828731101534,3.28787095488512,,,292
2025-09-07 20:45:57.132072,Email,ES,Devoluciones,Devoluciones,1,0,1,20.82582438156564,28.65912360215206,,,Inicio,299
2025-09-07 20:49:57.132072,WhatsApp Business,ES,General,Cambio de dirección,0,0,1,14.29712069772538,76.67881641504184,,,,202
2025-09-07 20:53:57.132072,WhatsApp Business,PT,General,Estado de pedido,1,0,1,19.415509866235503,38.615085512663086,5.0,,,154
2025-09-07 20:54:57.132072,App móvil,ES,Devoluciones,Devoluciones,1,0,1,13.607586099555297,76.57152783289894,,,Inicio,88
2025-09-07 20:58:57.132072,Web,MX,General,Estado de pedido,0,1,1,12.731415843666898,268.642251184813,,,,60
2025-09-07 21:02:57.132072,Web,ES,General,Cambio de dirección,1,0,1,22.88639981514681,23.36570223383612,,,,258
2025-09-07 21:06:57.132072,WhatsApp Business,PT,Entregas,Incidencia de entrega,0,1,0,14.187935986696726,253.4108956655656,3.808725435859081,7.0,,153
2025-09-07 21:10:57.132072,App móvil,MX,General,Consultar catálogo,0,1,1,16.673074872627442,189.07721021909987,5.0,10.0,,401
2025-09-07 21:14:57.132072,WhatsApp Business,ES,General,Consultar catálogo,0,1,0,13.54083608885891,404.6747738819437,,,,352
2025-09-07 21:16:57.132072,App móvil,MX,General,Estado de pedido,0,0,1,21.28524291154981,29.42268342259527,,5.0,,112
2025-09-07 21:22:57.132072,WhatsApp Business,ES,General,Estado de pedido,1,0,1,6.887205565532589,25.76548688141277,,,,399
2025-09-07 21:30:57.132072,Voz,ES,General,Consultar catálogo,1,0,1,13.862072584580948,11.47087619039213,,,,282
2025-09-07 21:31:57.132072,WhatsApp Business,ES,Devoluciones,Devoluciones,0,1,0,16.647078880673302,30.0,,,Inicio,120
2025-09-07 21:33:57.132072,Web,ES,Devoluciones,Devoluciones,1,0,1,14.434494076138128,25.65469530810896,5.0,,Inicio,104
2025-09-07 21:35:57.132072,Web,PT,Devoluciones,Devoluciones,1,0,1,10.652536830381605,33.25614922767958,,,Inicio,46
2025-09-07 21:46:57.132072,WhatsApp Business,PT,General,Consultar catálogo,1,0,0,12.70324404115221,43.04118331919012,4.569414611344813,,,161
2025-09-07 21:51:57.132072,Email,PT,Devoluciones,Devoluciones,1,0,1,10.824552520771832,51.76291853791702,,,Inicio,439
2025-09-07 21:54:57.132072,App móvil,ES,General,Estado de pedido,1,0,1,6.743624537469993,67.21567244198302,5.0,,,55
2025-09-07 21:58:57.132072,WhatsApp Business,PT,Devoluciones,Devoluciones,1,0,1,14.764204026420764,40.51478879217599,,8.0,Inicio,125
2025-09-07 22:01:57.132072,App móvil,ES,General,Estado de pedido,0,0,1,13.512444654467483,42.81013008550437,3.7549267255678127,,,195
2025-09-07 22:01:57.132072,WhatsApp Business,ES,General,Consultar catálogo,1,0,1,18.275425537350216,7.859581685999579,,4.0,,358
2025-09-07 22:04:57.132072,App móvil,ES,General,Estado de pedido,1,0,0,23.05275118706193,55.053987359406094,5.0,7.0,,252
2025-09-07 22:06:57.132072,Email,ES,General,Estado de pedido,1,0,1,10.196321595988897,52.4684122394823,,,,242
2025-09-07 22:09:57.132072,Web,ES,General,Cambio de dirección,0,0,0,8.836741215047871,32.49481698231954,,,,152
2025-09-07 22:12:57.132072,Email,ES,General,Estado de pedido,1,0,0,20.11231196306362,29.57037104814018,,,,176
2025-09-07 22:12:57.132072,WhatsApp Business,PT,Devoluciones,Devoluciones,1,0,0,17.224851990834804,39.88951532026751,5.0,,Inicio,275
2025-09-07 22:22:57.132072,Voz,MX,General,Estado de pedido,0,1,0,17.29108252364106,199.13728753753315,3.821912226307433,,,314
2025-09-07 22:25:57.132072,Web,ES,General,Consultar catálogo,1,0,1,12.947076595364946,60.60596046516972,,,,295
2025-09-07 22:26:57.132072,WhatsApp Business,ES,General,Consultar catálogo,1,0,1,16.852124153281043,36.971652318852,4.956813748263086,,,211
2025-09-07 22:31:57.132072,App móvil,ES,General,Estado de pedido,1,0,1,9.899109952730832,31.879544623811707,,9.0,,24
2025-09-07 22:33:57.132072,Web,ES,Entregas,Incidencia de entrega,1,0,0,8.272357573330243,55.04592340396663,,,,29
